coin,profit_percentage,best_path,direct_value,btc_path_value,eth_path_value,usdc_path_value,timestamp
GALA,0.8964546952224168,Via BTC,100.0,100.89645469522242,99.93876002196596,99.99,2025-03-24 12:23:43
IOTA,0.3903572845952965,Via ETH,100.0,100.05571362924282,100.3903572845953,99.88557180156658,2025-03-24 12:23:43
INJ,0.3120592380952587,Via ETH,100.0,100.15709645714286,100.31205923809526,99.89477142857145,2025-03-24 12:23:43
FIL,0.3088866242038079,Via BTC,100.0,100.3088866242038,100.01268343949044,100.08553184713377,2025-03-24 12:23:43
ICP,0.2602763310665352,Via ETH,100.0,99.8411814894676,100.26027633106654,99.9734151600597,2025-03-24 12:23:43
TRX,0.1988505484861633,Via BTC,100.0,100.19885054848616,100.02445019745502,100.03387450636244,2025-03-24 12:23:43
OP,0.1713036707452744,Via ETH,100.0,100.14337882091212,100.17130367074527,100.10122358175752,2025-03-24 12:23:43
STEEM,0.1371668378576629,Via BTC,100.0,100.13716683785766,99.94877769625823,99.99,2025-03-24 12:23:43
ATOM,0.1108466942148851,Via ETH,100.0,99.9646217355372,100.11084669421489,99.90736363636366,2025-03-24 12:23:43
RUNE,0.0779179160186487,Via BTC,100.0,100.07791791601863,99.97046080870918,99.99,2025-03-24 12:23:43
EOS,0.0596673053475029,Via USDC,100.0,99.97302881031176,99.939859257969,100.0596673053475,2025-03-24 12:23:43
EGLD,0.0498067968337778,Via BTC,100.0,100.04980679683376,99.8952253298153,99.93723482849605,2025-03-24 12:23:43
S,0.0491255533199108,Via BTC,100.0,100.04912555331993,99.91659691482226,100.00676559356135,2025-03-24 12:23:43
LTC,0.0385283180166737,Via BTC,100.0,100.03852831801667,99.98314554391963,100.0113699508442,2025-03-24 12:23:43
BNB,0.0365455048409444,Via BTC,100.0,100.03654550484094,100.01818126897822,100.02815138074116,2025-03-24 12:23:43
UNI,0.0326413549753112,Via ETH,100.0,100.02572815808048,100.03264135497533,99.91943542695836,2025-03-24 12:23:43
XRP,0.031216538226289,Via BTC,100.0,100.03121653822627,99.9769365953109,99.99407706422016,2025-03-24 12:23:43
NEAR,0.0241379310344882,Via USDC,100.0,100.0075147558894,100.01252441106182,100.0241379310345,2025-03-24 12:23:43
AAVE,0.0176367346938803,Via BTC,100.0,100.0176367346939,99.96877934320936,99.99517921889569,2025-03-24 12:23:43
SOL,0.0158053564681779,Via BTC,100.0,100.01580535646818,99.990434478416,100.01098719652975,2025-03-24 12:23:43
LINK,0.0150658174655262,Via BTC,100.0,100.01506581746553,100.0122902166776,99.99,2025-03-24 12:23:43
ARB,0.0045651720542281,Via ETH,100.0,99.8992135557873,100.00456517205424,99.99,2025-03-24 12:23:43
ADA,0.0041168170631635,Via BTC,100.0,100.00411681706316,99.9573500136724,100.00367104183756,2025-03-24 12:23:43
APT,0.0,Direct,100.0,99.99472392948826,99.76864282046893,99.97288721547147,2025-03-24 12:23:43
AVAX,0.0,Direct,100.0,99.89777616311402,99.92036329935124,99.9436654309546,2025-03-24 12:23:43
DOT,0.0,Direct,100.0,99.99044571428573,99.88229509594883,99.86208102345417,2025-03-24 12:23:43
POL,0.0,Direct,100.0,99.8654008185539,99.76766712141882,99.89905866302864,2025-03-24 12:23:43
XLM,0.0,Direct,100.0,99.8348589211618,99.99160719225448,99.99,2025-03-24 12:23:43
GALA,0.8894662273476257,Via BTC,100.0,100.88946622734764,99.9339769357496,99.99,2025-03-24 12:23:50
IOTA,0.3855525848563985,Via ETH,100.0,100.04878339425588,100.3855525848564,99.88557180156658,2025-03-24 12:23:50
INJ,0.3072582857142976,Via ETH,100.0,100.1501592,100.3072582857143,99.89477142857145,2025-03-24 12:23:50
FIL,0.3019388535031737,Via BTC,100.0,100.30193885350316,100.00789681528664,100.08553184713377,2025-03-24 12:23:50
ICP,0.2056160477453801,Via ETH,100.0,99.78461379310346,100.20561604774538,99.92369363395224,2025-03-24 12:23:50
TRX,0.1919103992979245,Via BTC,100.0,100.19191039929792,100.01966301009216,100.03387450636244,2025-03-24 12:23:50
STEEM,0.1302309611151884,Via BTC,100.0,100.1302309611152,99.94399413059428,99.99,2025-03-24 12:23:50
S,0.092544136889785,Via BTC,100.0,100.0925441368898,99.96209763462508,100.05709612481128,2025-03-24 12:23:50
OP,0.0552133333333415,Via ETH,100.0,100.02517980000002,100.05521333333334,99.99,2025-03-24 12:23:50
LTC,0.0529826849080734,Via BTC,100.0,100.05298268490807,99.99973236425824,100.01137451902522,2025-03-24 12:23:50
EGLD,0.0428769709762662,Via BTC,100.0,100.04287697097624,99.8904443271768,99.93723482849605,2025-03-24 12:23:50
ADA,0.0310243435448853,Via USDC,100.0,100.02454168490154,99.97990536105034,100.03102434354489,2025-03-24 12:23:50
UNI,0.0278537755822299,Via ETH,100.0,100.0188,100.02785377558224,100.00411291460834,2025-03-24 12:23:50
NEAR,0.0241379310344882,Via USDC,100.0,100.00058785933768,100.00773779446912,100.0241379310345,2025-03-24 12:23:50
SOL,0.0179848866498986,Via USDC,100.0,100.00363283375316,99.99264483627204,100.01798488664988,2025-03-24 12:23:50
BNB,0.0141181170710069,Via BTC,100.0,100.014118117071,100.01180439413692,99.993179231185,2025-03-24 12:23:50
LINK,0.0081383978988895,Via BTC,100.0,100.00813839789888,100.0075036112935,99.99,2025-03-24 12:23:50
ATOM,0.00274674922602,Via ETH,100.0,99.85454229102167,100.00274674922602,99.99,2025-03-24 12:23:50
XRP,0.002232190188792,Via USDC,100.0,99.99677068058556,99.98030501977736,100.0022321901888,2025-03-24 12:23:50
